f_Hz,Sn_Hz^-1
1e-05,1.9724925649269094e-27
1.0057759593016343e-05,1.9055111894432264e-27
1.0115852803091209e-05,1.840804527843407e-27
1.0174281557183189e-05,1.778295325888265e-27
1.0233047793380827e-05,1.717908953153445e-27
1.0292153460967076e-05,1.659573313913536e-27
1.0351600520483776e-05,1.6032187610533241e-27
1.0411390943796867e-05,1.5487780129026848e-27
1.0471526714161644e-05,1.4961860728964547e-27
1.0532009826288597e-05,1.4453801519628489e-27
1.0592842286409654e-05,1.3962995935479076e-27
1.0654026112344566e-05,1.3488858011866636e-27
1.0715563333568019e-05,1.3030821685340532e-27
1.0777455991276773e-05,1.2588340117725742e-27
1.0839706138457544e-05,1.2160885043154391e-27
1.090231583995495e-05,1.1747946137277301e-27
1.0965287172540072e-05,1.1349030407898547e-27
1.1028622224979398e-05,1.0963661606306946e-27
1.1092323098103957e-05,1.0591379658602738e-27
1.1156391904879185e-05,1.023174011633692e-27
1.1220830770474828e-05,9.884313625811508e-28
1.1285641832335617e-05,9.548685415402715e-28
1.1350827240252012e-05,9.224454800298795e-28
1.1416389156431567e-05,8.911234704057988e-28
1.1482329755570737e-05,8.60865119641647e-28
1.1548651224926835e-05,8.316343046795649e-28
1.1615355764390784e-05,8.033961292972491e-28
1.168244558655991e-05,7.761168824401533e-28
1.1749922916811414e-05,7.497639979687859e-28
1.1817789993376258e-05,7.243060157731838e-28
1.1886049067413238e-05,6.997125442081936e-28
1.1954702403083847e-05,6.759542238044825e-28
1.2023752277627187e-05,6.530026922122135e-28
1.2093200981435695e-05,6.308305503352621e-28
1.2163050818130954e-05,6.094113296157679e-28
1.2233304104640165e-05,5.887194604297759e-28
1.2303963171273082e-05,5.687302415562907e-28
1.2375030361799139e-05,5.494198106833674e-28
1.2446508033525381e-05,5.307651159158317e-28
1.2518398557374464e-05,5.127438882508312e-28
1.2590704317963499e-05,4.953346149881198e-28
1.2663427713682968e-05,4.785165140435443e-28
1.2736571156776364e-05,4.622695091348816e-28
1.2810137073420276e-05,4.465742058104723e-28
1.2884127903804683e-05,4.3141186829208e-28
1.2958546102214112e-05,4.167643971041709e-28
1.3033394137108828e-05,4.02614307463089e-28
1.310867449120693e-05,3.8894470840013308e-28
1.3184389661566513e-05,3.7573928259377734e-28
1.3260542159668585e-05,3.6298226688681864e-28
1.3337134511500438e-05,3.5065843346524413e-28
1.341416925763926e-05,3.387530716763796e-28
1.349164895333662e-05,3.272519704645033e-28
1.3569576168603003e-05,3.1614140140308086e-28
1.3647953488293283e-05,3.054081023032281e-28
1.3726783512192265e-05,2.9503926137895194e-28
1.3806068855101006e-05,2.8502250195016324e-28
1.3885812146923631e-05,2.7534586766523443e-28
1.3966016032754375e-05,2.659978082254905e-28
1.4046683172965538e-05,2.5696716559449976e-28
1.412781624329551e-05,2.4824316067580176e-28
1.4209417934937755e-05,2.398153804430573e-28
1.429149095462987e-05,2.3167376550735444e-28
1.437403802474346e-05,2.238085981067443e-28
1.4457061883374524e-05,2.1621049050369558e-28
1.4540565284434076e-05,2.088703737766433e-28
1.4624550997739726e-05,2.017794869921755e-28
1.4709021809107347e-05,1.9492936674501172e-28
1.4793980520443575e-05,1.883118370532131e-28
1.4879429949838828e-05,1.819189995965922e-28
1.4965372931660588e-05,1.7574322428667888e-28
1.5051812316647641e-05,1.6977714015693317e-28
1.5138750972004407e-05,1.6401362656239038e-28
1.5226191781496282e-05,1.5844580467816441e-28
1.5314137645545084e-05,1.5306702928672064e-28
1.540259148132535e-05,1.4787088084406162e-28
1.5491556222861188e-05,1.4285115781537149e-28
1.5581034821123383e-05,1.3800186927098617e-28
1.567103024412754e-05,1.333172277338016e-28
1.576154547703227e-05,1.2879164226963543e-28
1.585258352223847e-05,1.2441971181223558e-28
1.594414739948868e-05,1.201962187150177e-28
1.6036240145967355e-05,1.1611612252178861e-28
1.6128864816401697e-05,1.1217455394903872e-28
1.6222024483162762e-05,1.083668090726265e-28
1.6315722236367628e-05,1.0468834371188121e-28
1.6409961183981625e-05,1.011347680044603e-28
1.6504744451921705e-05,9.77018411654398e-29
1.6600075184159883e-05,9.438546642442124e-29
1.6695956542827627e-05,9.118168613457641e-29
1.6792391708320857e-05,8.808667704780387e-29
1.6889383879405186e-05,8.509674575036619e-29
1.698693627332231e-05,8.220832425352924e-29
1.7085052125896444e-05,7.941796573397299e-29
1.7183734691641923e-05,7.672234041885376e-29
1.728298724387093e-05,7.411823161063518e-29
1.7382813074802162e-05,7.160253184691797e-29
1.748321549567014e-05,6.91722391906916e-29
1.7584197836834794e-05,6.682445364658846e-29
1.7685763447892244e-05,6.455637369883744e-29
1.77879156977856e-05,6.236529296681154e-29
1.7890657974916877e-05,6.024859697415147e-29
1.799399368725946e-05,5.820376002762018e-29
1.8097926262470902e-05,5.622834220196475e-29
1.8202459148006914e-05,5.431998642717033e-29
1.8307595811235428e-05,5.247641567464774e-29
1.8413339739551895e-05,5.0695430238975e-29
1.851969444049468e-05,4.8974905111967053e-29
1.862666344186168e-05,4.7312787445918116e-29
1.8734250291827114e-05,4.5707094103007153e-29
1.8842458559059302e-05,4.4155909287924756e-29
1.8951291832839163e-05,4.265738226090141e-29
1.9060753723179e-05,4.1209725128411426e-29
1.9170847860942558e-05,3.9811210708901206e-29
1.9281577897965186e-05,3.846017047100934e-29
1.939294750717509e-05,3.715499254180367e-29
1.9504960382715264e-05,3.5894119782662974e-29
1.961762024006578e-05,3.4676047930509344e-29
1.973093081616732e-05,3.3499323802161435e-29
1.9844895869544827e-05,3.236254355967774e-29
1.995951918043249e-05,3.126435103460521e-29
2.007480455089886e-05,3.0203436109145625e-29
2.0190755804973076e-05,2.917853315229557e-29
2.0307376788771838e-05,2.818841950909836e-29
2.0424671370626698e-05,2.723191404120658e-29
2.0542643441212696e-05,2.630787571700395e-29
2.0661296913677087e-05,2.5415202249614416e-29
2.078063572376947e-05,2.4552828781160892e-29
2.0900663829972054e-05,2.3719726611713166e-29
2.102138521363107e-05,2.2914901971399296e-29
2.1142803879088985e-05,2.2137394834217658e-29
2.1264923853816997e-05,2.1386277772136237e-29
2.1387749188549e-05,2.0660654848103814e-29
2.151128395741558e-05,1.9959660546660006e-29
2.1635532258079515e-05,1.9282458740858644e-29
2.176049821187138e-05,1.8628241694279367e-29
2.1886185963926394e-05,1.7996229096929256e-29
2.2012599683322035e-05,1.7385667133886098e-29
2.2139743563216027e-05,1.6795827585573663e-29
2.2267621820985787e-05,1.6226006958588796e-29
2.2396238698367943e-05,1.567552564604983e-29
2.2525598461599405e-05,1.5143727116456666e-29
2.265570540155856e-05,1.4629977130100638e-29
2.2786563833907736e-05,1.4133662982083562e-29
2.2918178099236483e-05,1.365419277104431e-29
2.3050552563205235e-05,1.3190994692721276e-29
2.3183691616690494e-05,1.274351635750335e-29
2.331759967593014e-05,1.2311224131159335e-29
2.345228118267007e-05,1.1893602497954773e-29
2.358774060431166e-05,1.1490153445397457e-29
2.3723982434059624e-05,1.1100395869878476e-29
2.3861011191071443e-05,1.0723865002495499e-29
2.3998831420606867e-05,1.0360111854377322e-29
2.4137447694179078e-05,1.0008702680842971e-29
2.4276864609705936e-05,9.669218463759885e-30
2.4417086791662887e-05,9.34125441147906e-30
2.4558118891236006e-05,9.024419475754133e-30
2.4699965586476436e-05,8.718335885064386e-30
2.4842631582455694e-05,8.422638693785951e-30
2.4986121611421404e-05,8.136975346674005e-30
2.5130440432954662e-05,7.861005258133225e-30
2.5275592834127557e-05,7.594399405777507e-30
2.542158362966211e-05,7.336839937791054e-30
2.5568417662090134e-05,7.088019793623137e-30
2.5716099801913504e-05,6.8476423375647e-30
2.5864634947766126e-05,6.615421004766852e-30
2.6014028026576e-05,6.391078959281695e-30
2.6164283993729082e-05,6.174348763714257e-30
2.6315407833233264e-05,5.964972060093919e-30
2.646740455788388e-05,5.76269926158211e-30
2.6620279209430108e-05,5.5672892546493395e-30
2.6774036858741866e-05,5.378509111366424e-30
2.6928682605978422e-05,5.196133811464861e-30
2.7084221580757127e-05,5.019945973836684e-30
2.724065894232403e-05,4.849735597150936e-30
2.73979998797246e-05,4.685299809279436e-30
2.7556249611976015e-05,4.5264426252308055e-30
2.771541338824047e-05,4.372974713304643e-30
2.7875496487998863e-05,4.224713169187165e-30
2.8036504221226397e-05,4.0814812977172045e-30
2.8198441928568244e-05,3.943108402063811e-30
2.836131498151716e-05,3.809429580062026e-30
2.8525128782591235e-05,3.680285527465366e-30
2.8689888765513302e-05,3.555522347878801e-30
2.8855600395391326e-05,3.434991369145959e-30
2.9022269168899274e-05,3.3185489659717324e-30
2.9189900614459916e-05,3.206056388567435e-30
2.935850029242773e-05,3.097379597115368e-30
2.9528073795273815e-05,2.9923891018537733e-30
2.9698626747770974e-05,2.890959808592603e-30
2.987016480718047e-05,2.7929708694746578e-30
3.0042693663439857e-05,2.6983055388044012e-30
3.0216219039351297e-05,2.6068510337726447e-30
3.039074669077186e-05,2.518498399910028e-30
3.056628240680404e-05,2.433142381109675e-30
3.074283200998794e-05,2.350681294063064e-30
3.092040135649462e-05,2.271016906959571e-30
3.1098996336319864e-05,2.1940543223051743e-30
3.127862287348013e-05,2.1197018637197022e-30
3.145928692620846e-05,2.0478709665784296e-30
3.164099448715268e-05,1.9784760723665527e-30
3.182375158357365e-05,1.9114345266213224e-30
3.200756427754569e-05,1.846666480339206e-30
3.2192438666157245e-05,1.784094794731127e-30
3.237838088171326e-05,1.7236449492115422e-30
3.256539709193886e-05,1.665244952511724e-30
