f_Hz,Sn_Hz^-1
1e-05,1.972499222226759e-27
1.0057759593016343e-05,1.9055177567816062e-27
1.0115852803091209e-05,1.8408110064349683e-27
1.0174281557183189e-05,1.7783017169312715e-27
1.0233047793380827e-05,1.7179152578299922e-27
1.0292153460967076e-05,1.6595795333897712e-27
1.0351600520483776e-05,1.6032248964796603e-27
1.0411390943796867e-05,1.5487840654140124e-27
1.0471526714161644e-05,1.4961920436123518e-27
1.0532009826288597e-05,1.4453860419877872e-27
1.0592842286409654e-05,1.3963054039714565e-27
1.0654026112344566e-05,1.3488915330836904e-27
1.0715563333568019e-05,1.3030878229649224e-27
1.0777455991276773e-05,1.258839589783342e-27
1.0839706138457544e-05,1.2160940069380471e-27
1.090231583995495e-05,1.1748000419801954e-27
1.0965287172540072e-05,1.1349083956764573e-27
1.1028622224979398e-05,1.0963714431421633e-27
1.1092323098103957e-05,1.0591431769739686e-27
1.1156391904879185e-05,1.023179152313784e-27
1.1220830770474828e-05,9.884364337788008e-28
1.1285641832335617e-05,9.548735441938048e-28
1.1350827240252012e-05,9.224504150649595e-28
1.1416389156431567e-05,8.911283387355974e-28
1.1482329755570737e-05,8.60869922167013e-28
1.1548651224926835e-05,8.316390422891907e-28
1.1615355764390784e-05,8.0340080286783415e-28
1.168244558655991e-05,7.761214928365658e-28
1.1749922916811414e-05,7.497685460442226e-28
1.1817789993376258e-05,7.243105023693274e-28
1.1886049067413238e-05,6.99716970155368e-28
1.1954702403083847e-05,6.7595858992180575e-28
1.2023752277627187e-05,6.530069993077492e-28
1.2093200981435695e-05,6.308347992061684e-28
1.2163050818130954e-05,6.0941552104844465e-28
1.2233304104640165e-05,5.887235952000098e-28
1.2303963171273082e-05,5.68734320429398e-28
1.2375030361799139e-05,5.494238344143356e-28
1.2446508033525381e-05,5.307690852494586e-28
1.2518398557374464e-05,5.127478039218625e-28
1.2590704317963499e-05,4.953384777213845e-28
1.2663427713682968e-05,4.7852032455408865e-28
1.2736571156776364e-05,4.622732681281008e-28
1.2810137073420276e-05,4.46577913982241e-28
1.2884127903804683e-05,4.3141552632888035e-28
1.2958546102214112e-05,4.167680056832195e-28
1.3033394137108828e-05,4.0261786725246156e-28
1.310867449120693e-05,3.8894822005888814e-28
1.3184389661566513e-05,3.7574274677207763e-28
1.3260542159668585e-05,3.629856842260511e-28
1.3337134511500438e-05,3.5066180459813833e-28
1.341416925763926e-05,3.387563972271244e-28
1.349164895333662e-05,3.2725525104886227e-28
1.3569576168603003e-05,3.1614463762850573e-28
1.3647953488293283e-05,3.0541129476897087e-28
1.3726783512192265e-05,2.950424106761757e-28
1.3806068855101006e-05,2.850256086620511e-28
1.3885812146923631e-05,2.7534893236709715e-28
1.3966016032754375e-05,2.6600083148487278e-28
1.4046683172965538e-05,2.5697014797128497e-28
1.412781624329551e-05,2.482461027223152e-28
1.4209417934937755e-05,2.398182827041684e-28
1.429149095462987e-05,2.3167662852057703e-28
1.437403802474346e-05,2.2381142240233606e-28
1.4457061883374524e-05,2.162132766047558e-28
1.4540565284434076e-05,2.088731221992095e-28
1.4624550997739726e-05,2.0178219824531869e-28
1.4709021809107347e-05,1.949320413309304e-28
1.4793980520443575e-05,1.8831447546732595e-28
1.4879429949838828e-05,1.8192160232762957e-28
1.4965372931660588e-05,1.7574579181677296e-28
1.5051812316647641e-05,1.6977967296170707e-28
1.5138750972004407e-05,1.6401612511104593e-28
1.5226191781496282e-05,1.5844826943356878e-28
1.5314137645545084e-05,1.5306946070549177e-28
1.540259148132535e-05,1.478732793766526e-28
1.5491556222861188e-05,1.428535239061537e-28
1.5581034821123383e-05,1.380042033583313e-28
1.567103024412754e-05,1.3331953025016266e-28
1.576154547703227e-05,1.2879391364162657e-28
1.585258352223847e-05,1.2442195246071083e-28
1.594414739948868e-05,1.2019842905514876e-28
1.6036240145967355e-05,1.161183029631415e-28
1.6128864816401697e-05,1.1217670489564933e-28
1.6222024483162762e-05,1.0836893092307533e-28
1.6315722236367628e-05,1.046904368593669e-28
1.6409961183981625e-05,1.0113683283687227e-28
1.6504744451921705e-05,9.770387806542987e-29
1.6600075184159883e-05,9.438747576947432e-29
1.6695956542827627e-05,9.118366829708022e-29
1.6792391708320857e-05,8.808863239511768e-29
1.6889383879405186e-05,8.509867464488872e-29
1.698693627332231e-05,8.221022705276556e-29
1.7085052125896444e-05,7.941984279060059e-29
1.7183734691641923e-05,7.672419208078764e-29
1.728298724387093e-05,7.412005822109216e-29
1.7382813074802162e-05,7.160433374448005e-29
1.748321549567014e-05,6.917401670936854e-29
1.7584197836834794e-05,6.682620711587943e-29
1.7685763447892244e-05,6.455810344379197e-29
1.77879156977856e-05,6.236699930808946e-29
1.7890657974916877e-05,6.025028022808224e-29
1.799399368725946e-05,5.820542050626125e-29
1.8097926262470902e-05,5.622998021315929e-29
1.8202459148006914e-05,5.432160227460401e-29
1.8307595811235428e-05,5.247800965790492e-29
1.8413339739551895e-05,5.069700265359403e-29
1.851969444049468e-05,4.8976456249494877e-29
1.862666344186168e-05,4.731431759396416e-29
1.8734250291827114e-05,4.570860354529645e-29
1.8842458559059302e-05,4.415739830435037e-29
1.8951291832839163e-05,4.2658851127576145e-29
1.9060753723179e-05,4.121117411771886e-29
1.9170847860942558e-05,3.9812640089546005e-29
1.9281577897965186e-05,3.8461580508066915e-29
1.939294750717509e-05,3.715638349676917e-29
1.9504960382715264e-05,3.589549191349959e-29
1.961762024006578e-05,3.467740149169597e-29
1.973093081616732e-05,3.3500659044739734e-29
1.9844895869544827e-05,3.236386073129849e-29
1.995951918043249e-05,3.1265650379574105e-29
2.007480455089886e-05,3.0204717868468404e-29
2.0190755804973076e-05,2.9179797563722556e-29
2.0307376788771838e-05,2.818966680716842e-29
2.0424671370626698e-05,2.7233144457290445e-29
2.0542643441212696e-05,2.6309089479347e-29
2.0661296913677087e-05,2.541639958337885e-29
2.078063572376947e-05,2.4554009908467345e-29
2.0900663829972054e-05,2.3720891751681772e-29
2.102138521363107e-05,2.2916051340190187e-29
2.1142803879088985e-05,2.2138528645070912e-29
2.1264923853816997e-05,2.1387396235411304e-29
2.1387749188549e-05,2.0661758171318386e-29
2.151128395741558e-05,1.9960748934528396e-29
2.1635532258079515e-05,1.9283532395329606e-29
2.176049821187138e-05,1.8629300814573448e-29
2.1886185963926394e-05,1.7997273879575607e-29
2.2012599683322035e-05,1.738669777275882e-29
2.2139743563216027e-05,1.6796844271927638e-29
2.2267621820985787e-05,1.6227009881095048e-29
2.2396238698367943e-05,1.5676514990830408e-29
2.2525598461599405e-05,1.5144703067119051e-29
2.265570540155856e-05,1.4630939867771688e-29
2.2786563833907736e-05,1.4134612685443008e-29
2.2918178099236483e-05,1.3655129616357782e-29
2.3050552563205235e-05,1.3191918853872898e-29
2.3183691616690494e-05,1.2744428006027894e-29
2.331759967593014e-05,1.231212343627393e-29
2.345228118267007e-05,1.1894489626590205e-29
2.358774060431166e-05,1.149102856222903e-29
2.3723982434059624e-05,1.1101259137356461e-29
2.3861011191071443e-05,1.0724716580875177e-29
2.3998831420606867e-05,1.036095190174862e-29
2.4137447694179078e-05,1.0009531353159696e-29
2.4276864609705936e-05,9.67003591486856e-30
2.4417086791662887e-05,9.34206079314738e-30
2.4558118891236006e-05,9.025214937699031e-30
