freq_Hz,Sn_1_per_Hz,hc_sensitivity
1e-05,1.9724946768509487e-27,1.4044552954262906e-16
1.0057759593016343e-05,1.9055132532871957e-27,1.384384130321822e-16
1.0115852803091209e-05,1.8408065447020896e-27,1.3645998697483918e-16
1.0174281557183189e-05,1.7782972968315124e-27,1.3450984123974564e-16
1.0233047793380827e-05,1.717910879226747e-27,1.3258757155893678e-16
1.0292153460967076e-05,1.6595751961385752e-27,1.306927794435207e-16
1.0351600520483776e-05,1.6032206004285168e-27,1.28825072101071e-16
1.0411390943796867e-05,1.5487798104037112e-27,1.2698406235418927e-16
1.0471526714161644e-05,1.4961878294767775e-27,1.2516936856024162e-16
1.0532009826288597e-05,1.4453818685542187e-27,1.233806145322368e-16
1.0592842286409654e-05,1.3963012710608564e-27,1.2161742946083422e-16
1.0654026112344566e-05,1.3488874405109903e-27,1.198794478374743e-16
1.0715563333568019e-05,1.3030837705392934e-27,1.1816630937859748e-16
1.0777455991276773e-05,1.2588355773084634e-27,1.1647765895095701e-16
1.0839706138457544e-05,1.2160900342123618e-27,1.1481314649798943e-16
1.090231583995495e-05,1.1747961087971619e-27,1.1317242696724647e-16
1.0965287172540072e-05,1.1349045018247935e-27,1.1155516023885847e-16
1.1028622224979398e-05,1.0963675884060797e-27,1.0996101105502057e-16
1.1092323098103957e-05,1.0591393611333974e-27,1.0838964895049274e-16
1.1156391904879185e-05,1.0231753751446022e-27,1.0684074818408453e-16
1.1220830770474828e-05,9.884326950530433e-28,1.0531398767112824e-16
1.1285641832335617e-05,9.548698436798741e-28,1.0380905091690877e-16
1.1350827240252012e-05,9.224467525278268e-28,1.0232562595105325e-16
1.1416389156431567e-05,8.91124713936998e-28,1.0086340526285302e-16
1.1482329755570737e-05,8.608663348656375e-28,9.942208573751022e-17
1.1548651224926835e-05,8.316354922408665e-28,9.800136859330136e-17
1.1615355764390784e-05,8.03397289825706e-28,9.660095931963071e-17
1.168244558655991e-05,7.761180165512663e-28,9.522056761597765e-17
1.1749922916811414e-05,7.497651062640409e-28,9.385990733171112e-17
1.1817789993376258e-05,7.243070988403696e-28,9.251869640676478e-17
1.1886049067413238e-05,6.997136026217146e-28,9.119665681316496e-17
1.1954702403083847e-05,6.7595525812566295e-28,8.989351449738754e-17
1.2023752277627187e-05,6.530037029895957e-28,8.860899932354579e-17
1.2093200981435695e-05,6.308315381048975e-28,8.734284501738384e-17
1.2163050818130954e-05,6.094122949015011e-28,8.609478911107666e-17
