freq_Hz,Sn_1_per_Hz,hc_sensitivity
1e-05,1.9724960083109185e-27,1.4044557694391514e-16
1.0057759593016343e-05,1.9055145667548716e-27,1.3843846074487823e-16
1.0115852803091209e-05,1.8408078404204018e-27,1.3646003500098114e-16
1.0174281557183189e-05,1.7782985750401137e-27,1.3450988958138274e-16
1.0233047793380827e-05,1.7179121401620565e-27,1.3258762021813146e-16
1.0292153460967076e-05,1.6595764400338223e-27,1.3069282842234888e-16
1.0351600520483776e-05,1.603221827513784e-27,1.2882512140162196e-16
1.0411390943796867e-05,1.5487810209059767e-27,1.2698411197856587e-16
1.0471526714161644e-05,1.496189023619957e-27,1.2516941851056035e-16
1.0532009826288597e-05,1.4453830465592063e-27,1.2338066481062787e-16
1.0592842286409654e-05,1.3963024331455662e-27,1.2161748006944168e-16
1.0654026112344566e-05,1.3488885868903956e-27,1.1987949877845602e-16
1.0715563333568019e-05,1.3030849014254673e-27,1.1816636065412538e-16
1.0777455991276773e-05,1.2588366929106169e-27,1.1647771056321707e-16
1.0839706138457544e-05,1.2160911347368833e-27,1.1481319844918177e-16
1.090231583995495e-05,1.174797194447655e-27,1.1317247925958548e-16
1.0965287172540072e-05,1.134905572802114e-27,1.1155521287457286e-16
1.1028622224979398e-05,1.0963686449083735e-27,1.0996106403635349e-16
1.1092323098103957e-05,1.0591404033561363e-27,1.0838970227970189e-16
1.1156391904879185e-05,1.0231764032806206e-27,1.0684080186344221e-16
1.1220830770474828e-05,9.884337092925733e-28,1.0531404170292145e-16
1.1285641832335617e-05,9.548708442105808e-28,1.0380910530343933e-16
1.1350827240252012e-05,9.224477395348428e-28,1.0232568069463787e-16
1.1416389156431567e-05,8.911256876029577e-28,1.0086346036582342e-16
1.1482329755570737e-05,8.608672953707107e-28,9.942214120221317e-17
1.1548651224926835e-05,8.316364397627918e-28,9.800142442209887e-17
1.1615355764390784e-05,8.0339822453982295e-28,9.660101551490002e-17
1.168244558655991e-05,7.761189386305488e-28,9.52206241801114e-17
1.1749922916811414e-05,7.497660158791282e-28,9.385996426711742e-17
1.1817789993376258e-05,7.2430799615959835e-28,9.251875371586731e-17
1.1886049067413238e-05,6.997144878111495e-28,9.119671449840308e-17
1.1954702403083847e-05,6.759561313491276e-28,8.989357256121639e-17
1.2023752277627187e-05,6.530045644087029e-28,8.860905776843635e-17
1.2093200981435695e-05,6.308323878790787e-28,8.734290384582308e-17
1.2163050818130954e-05,6.094131331880364e-28,8.609484832556761e-17
1.2233304104640165e-05,5.887212306975703e-28,8.48646324918773e-17
1.2303963171273082e-05,5.687319791729335e-28,8.365200132733839e-17
1.2375030361799139e-05,5.494215162887243e-28,8.245670346005037e-17
1.2446508033525381e-05,5.3076679013659815e-28,8.127849111150901e-17
1.2518398557374464e-05,5.12745531700814e-28,8.011712004524172e-17
1.2590704317963499e-05,4.953362282685112e-28,7.897234951616988e-17
1.2663427713682968e-05,4.78518097743192e-28,7.784394222070201e-17
1.2736571156776364e-05,4.622710638305503e-28,7.673166424753547e-17
1.2810137073420276e-05,4.465757320671023e-28,7.563528502916207e-17
1.2884127903804683e-05,4.314133666630374e-28,7.45545772940707e-17
1.2958546102214112e-05,4.167658681314949e-28,7.348931701962717e-17
1.3033394137108828e-05,4.0261575167773206e-28,7.243928338563419e-17
1.310867449120693e-05,3.8894612632219673e-28,7.140425872854874e-17
1.3184389661566513e-05,3.757406747327421e-28,7.038402849635982e-17
1.3260542159668585e-05,3.629836337417699e-28,6.937838120410738e-17
1.3337134511500438e-05,3.50659775525092e-28,6.838710839003724e-17
1.341416925763926e-05,3.3875438942007502e-28,6.74100045723862e-17
1.349164895333662e-05,3.272532643612487e-28,6.644686720677983e-17
1.3569576168603003e-05,3.161426719125369e-28,6.549749664424464e-17
1.3647953488293283e-05,3.05409349875715e-28,6.456169608981511e-17
1.3726783512192265e-05,2.950404864556471e-28,6.363927156173742e-17
1.3806068855101006e-05,2.850237049632947e-28,6.27300318512532e-17
1.3885812146923631e-05,2.753470490382697e-28,6.183378848295794e-17
1.3966016032754375e-05,2.6599896837332143e-28,6.09503556757295e-17
1.4046683172965538e-05,2.5696830492362324e-28,6.007955030421029e-17
1.412781624329551e-05,2.482442795844968e-28,5.922119186084527e-17
1.4209417934937755e-05,2.398164793215584e-28,5.837510241845732e-17
1.429149095462987e-05,2.3167484473802053e-28,5.754110659336246e-17
1.437403802474346e-05,2.2380965806422463e-28,5.671903150900937e-17
1.4457061883374524e-05,2.1621153155509177e-28,5.590870676013839e-17
1.4540565284434076e-05,2.0887139628166797e-28,5.510996437745622e-17
1.4624550997739726e-05,2.0178049130330728e-28,5.4322638792810816e-17
1.4709021809107347e-05,1.9493035320764726e-28,5.354656680486884e-17
1.4793980520443575e-05,1.8831280600581545e-28,5.2781587545280445e-17
1.4879429949838828e-05,1.8191995137083623e-28,5.2027542445328355e-17
1.4965372931660588e-05,1.7574415920759318e-28,5.12842752030558e-17
1.5051812316647641e-05,1.6977805854303947e-28,5.055163175086088e-17
1.5138750972004407e-05,1.6401452872583951e-28,4.9829460223557984e-17
1.5226191781496282e-05,1.5844669092486945e-28,4.911761092689188e-17
