freq_Hz,h_c
1.00000000e-05,4.44127553e-17
1.00577596e-05,4.37780494e-17
1.01158528e-05,4.31524162e-17
1.01742816e-05,4.25357261e-17
1.02330478e-05,4.19278511e-17
1.02921535e-05,4.13286652e-17
1.03516005e-05,4.07380444e-17
1.04113909e-05,4.01558660e-17
1.04715267e-05,3.95820095e-17
1.05320098e-05,3.90163559e-17
1.05928423e-05,3.84587879e-17
1.06540261e-05,3.79091899e-17
1.07155633e-05,3.73674480e-17
1.07774560e-05,3.68334499e-17
1.08397061e-05,3.63070849e-17
1.09023158e-05,3.57882439e-17
1.09652872e-05,3.52768193e-17
1.10286222e-05,3.47727051e-17
1.10923231e-05,3.42757969e-17
1.11563919e-05,3.37859915e-17
1.12208308e-05,3.33031875e-17
1.12856418e-05,3.28272848e-17
1.13508272e-05,3.23581846e-17
1.14163892e-05,3.18957899e-17
1.14823298e-05,3.14400047e-17
1.15486512e-05,3.09907346e-17
1.16153558e-05,3.05478863e-17
1.16824456e-05,3.01113682e-17
1.17499229e-05,2.96810897e-17
1.18177900e-05,2.92569616e-17
1.18860491e-05,2.88388960e-17
1.19547024e-05,2.84268063e-17
1.20237523e-05,2.80206070e-17
1.20932010e-05,2.76202139e-17
1.21630508e-05,2.72255440e-17
1.22333041e-05,2.68365156e-17
1.23039632e-05,2.64530478e-17
1.23750304e-05,2.60750614e-17
1.24465080e-05,2.57024779e-17
1.25183986e-05,2.53352200e-17
1.25907043e-05,2.49732117e-17
1.26634277e-05,2.46163779e-17
1.27365712e-05,2.42646447e-17
1.28101371e-05,2.39179390e-17
1.28841279e-05,2.35761892e-17
1.29585461e-05,2.32393242e-17
1.30333941e-05,2.29072743e-17
1.31086745e-05,2.25799707e-17
1.31843897e-05,2.22573455e-17
1.32605422e-05,2.19393318e-17
1.33371345e-05,2.16258638e-17
1.34141693e-05,2.13168763e-17
1.34916490e-05,2.10123055e-17
1.35695762e-05,2.07120880e-17
1.36479535e-05,2.04161618e-17
1.37267835e-05,2.01244655e-17
1.38060689e-05,1.98369386e-17
1.38858121e-05,1.95535214e-17
1.39660160e-05,1.92741554e-17
1.40466832e-05,1.89987824e-17
1.41278162e-05,1.87273456e-17
1.42094179e-05,1.84597885e-17
1.42914910e-05,1.81960558e-17
1.43740380e-05,1.79360927e-17
1.44570619e-05,1.76798454e-17
1.45405653e-05,1.74272608e-17
1.46245510e-05,1.71782865e-17
1.47090218e-05,1.69328709e-17
1.47939805e-05,1.66909631e-17
1.48794299e-05,1.64525130e-17
1.49653729e-05,1.62174711e-17
1.50518123e-05,1.59857888e-17
1.51387510e-05,1.57574180e-17
1.52261918e-05,1.55323114e-17
1.53141376e-05,1.53104223e-17
1.54025915e-05,1.50917047e-17
1.54915562e-05,1.48761133e-17
1.55810348e-05,1.46636034e-17
1.56710302e-05,1.44541309e-17
1.57615455e-05,1.42476525e-17
1.58525835e-05,1.40441253e-17
1.59441474e-05,1.38435071e-17
1.60362401e-05,1.36457564e-17
1.61288648e-05,1.34508322e-17
1.62220245e-05,1.32586940e-17
1.63157222e-05,1.30693021e-17
1.64099612e-05,1.28826171e-17
1.65047445e-05,1.26986004e-17
1.66000752e-05,1.25172139e-17
1.66959565e-05,1.23384199e-17
1.67923917e-05,1.21621814e-17
1.68893839e-05,1.19884618e-17
1.69869363e-05,1.18172252e-17
1.70850521e-05,1.16484361e-17
1.71837347e-05,1.14820594e-17
1.72829872e-05,1.13180607e-17
1.73828131e-05,1.11564060e-17
1.74832155e-05,1.09970618e-17
1.75841978e-05,1.08399950e-17
1.76857634e-05,1.06851731e-17
1.77879157e-05,1.05325641e-17
1.78906580e-05,1.03821362e-17
1.79939937e-05,1.02338583e-17
1.80979263e-05,1.00876997e-17
1.82024591e-05,9.94363004e-18
1.83075958e-05,9.80161951e-18
1.84133397e-05,9.66163865e-18
1.85196944e-05,9.52365846e-18
1.86266634e-05,9.38765033e-18
1.87342503e-05,9.25358608e-18
1.88424586e-05,9.12143791e-18
1.89512918e-05,8.99117845e-18
1.90607537e-05,8.86278068e-18
1.91708479e-05,8.73621800e-18
1.92815779e-05,8.61146417e-18
1.93929475e-05,8.48849334e-18
1.95049604e-05,8.36728002e-18
1.96176202e-05,8.24779909e-18
1.97309308e-05,8.13002579e-18
1.98448959e-05,8.01393570e-18
1.99595192e-05,7.89950476e-18
2.00748046e-05,7.78670927e-18
2.01907558e-05,7.67552583e-18
2.03073768e-05,7.56593140e-18
2.04246714e-05,7.45790328e-18
2.05426434e-05,7.35141907e-18
2.06612969e-05,7.24645670e-18
2.07806357e-05,7.14299442e-18
2.09006638e-05,7.04101079e-18
2.10213852e-05,6.94048466e-18
2.11428039e-05,6.84139521e-18
2.12649239e-05,6.74372190e-18
2.13877492e-05,6.64744448e-18
2.15112840e-05,6.55254301e-18
2.16355323e-05,6.45899780e-18
2.17604982e-05,6.36678949e-18
2.18861860e-05,6.27589894e-18
2.20125997e-05,6.18630734e-18
2.21397436e-05,6.09799611e-18
2.22676218e-05,6.01094695e-18
2.23962387e-05,5.92514182e-18
2.25255985e-05,5.84056293e-18
2.26557054e-05,5.75719276e-18
2.27865638e-05,5.67501404e-18
2.29181781e-05,5.59400972e-18
2.30505526e-05,5.51416302e-18
2.31836916e-05,5.43545740e-18
2.33175997e-05,5.35787654e-18
2.34522812e-05,5.28140436e-18
2.35877406e-05,5.20602503e-18
2.37239824e-05,5.13172291e-18
2.38610112e-05,5.05848261e-18
2.39988314e-05,4.98628894e-18
2.41374477e-05,4.91512696e-18
2.42768646e-05,4.84498191e-18
2.44170868e-05,4.77583926e-18
2.45581189e-05,4.70768467e-18
2.46999656e-05,4.64050403e-18
2.48426316e-05,4.57428341e-18
2.49861216e-05,4.50900909e-18
2.51304404e-05,4.44466754e-18
2.52755928e-05,4.38124543e-18
2.54215836e-05,4.31872962e-18
2.55684177e-05,4.25710715e-18
2.57160998e-05,4.19636525e-18
2.58646349e-05,4.13649134e-18
2.60140280e-05,4.07747301e-18
2.61642840e-05,4.01929803e-18
2.63154078e-05,3.96195434e-18
2.64674046e-05,3.90543006e-18
2.66202792e-05,3.84971348e-18
2.67740369e-05,3.79479305e-18
2.69286826e-05,3.74065739e-18
2.70842216e-05,3.68729529e-18
2.72406589e-05,3.63469569e-18
2.73979999e-05,3.58284769e-18
2.75562496e-05,3.53174054e-18
2.77154134e-05,3.48136366e-18
2.78754965e-05,3.43170661e-18
2.80365042e-05,3.38275910e-18
2.81984419e-05,3.33451098e-18
2.83613150e-05,3.28695226e-18
2.85251288e-05,3.24007308e-18
2.86898888e-05,3.19386374e-18
2.88556004e-05,3.14831465e-18
2.90222692e-05,3.10341639e-18
2.91899006e-05,3.05915963e-18
2.93585003e-05,3.01553523e-18
2.95280738e-05,2.97253414e-18
2.96986267e-05,2.93014744e-18
2.98701648e-05,2.88836636e-18
3.00426937e-05,2.84718224e-18
3.02162190e-05,2.80658655e-18
3.03907467e-05,2.76657087e-18
3.05662824e-05,2.72712692e-18
3.07428320e-05,2.68824653e-18
3.09204014e-05,2.64992163e-18
3.10989963e-05,2.61214429e-18
3.12786229e-05,2.57490668e-18
3.14592869e-05,2.53820109e-18
3.16409945e-05,2.50201991e-18
3.18237516e-05,2.46635565e-18
3.20075643e-05,2.43120092e-18
3.21924387e-05,2.39654843e-18
3.23783809e-05,2.36239101e-18
3.25653971e-05,2.32872158e-18
3.27534935e-05,2.29553317e-18
3.29426763e-05,2.26281889e-18
3.31329519e-05,2.23057198e-18
3.33243265e-05,2.19878574e-18
3.35168064e-05,2.16745361e-18
3.37103981e-05,2.13656908e-18
3.39051080e-05,2.10612577e-18
3.41009426e-05,2.07611735e-18
3.42979082e-05,2.04653762e-18
3.44960115e-05,2.01738046e-18
3.46952591e-05,1.98863981e-18
3.48956575e-05,1.96030972e-18
3.50972134e-05,1.93238434e-18
3.52999335e-05,1.90485786e-18
3.55038245e-05,1.87772460e-18
3.57088931e-05,1.85097893e-18
3.59151462e-05,1.82461531e-18
3.61225906e-05,1.79862829e-18
3.63312332e-05,1.77301246e-18
3.65410810e-05,1.74776255e-18
3.67521408e-05,1.72287330e-18
3.69644196e-05,1.69833957e-18
3.71779246e-05,1.67415628e-18
3.73926628e-05,1.65031841e-18
3.76086413e-05,1.62682103e-18
3.78258673e-05,1.60365928e-18
3.80443480e-05,1.58082835e-18
3.82640906e-05,1.55832352e-18
3.84851024e-05,1.53614013e-18
3.87073908e-05,1.51427358e-18
3.89309631e-05,1.49271934e-18
3.91558267e-05,1.47147296e-18
3.93819892e-05,1.45053002e-18
3.96094580e-05,1.42988620e-18
3.98382406e-05,1.40953721e-18
4.00683446e-05,1.38947885e-18
4.02997778e-05,1.36970695e-18
4.05325477e-05,1.35021744e-18
4.07666620e-05,1.33100626e-18
4.10021286e-05,1.31206944e-18
4.12389552e-05,1.29340306e-18
4.14771497e-05,1.27500326e-18
4.17167201e-05,1.25686622e-18
4.19576741e-05,1.23898820e-18
4.22000200e-05,1.22136547e-18
4.24437656e-05,1.20399441e-18
4.26889190e-05,1.18687141e-18
4.29354885e-05,1.16999293e-18
4.31834821e-05,1.15335546e-18
4.34329081e-05,1.13695557e-18
4.36837749e-05,1.12078987e-18
4.39360906e-05,1.10485500e-18
