freq_Hz,h_c
1.00000000e-05,7.02227320e-17
1.00577596e-05,6.92191738e-17
1.01158528e-05,6.82299609e-17
1.01742816e-05,6.72548881e-17
1.02330478e-05,6.62937534e-17
1.02921535e-05,6.53463574e-17
1.03516005e-05,6.44125038e-17
1.04113909e-05,6.34919991e-17
1.04715267e-05,6.25846523e-17
1.05320098e-05,6.16902753e-17
1.05928423e-05,6.08086829e-17
1.06540261e-05,5.99396922e-17
1.07155633e-05,5.90831230e-17
1.07774560e-05,5.82387979e-17
1.08397061e-05,5.74065418e-17
1.09023158e-05,5.65861821e-17
1.09652872e-05,5.57775488e-17
1.10286222e-05,5.49804743e-17
1.10923231e-05,5.41947934e-17
1.11563919e-05,5.34203431e-17
1.12208308e-05,5.26569629e-17
1.12856418e-05,5.19044946e-17
1.13508272e-05,5.11627822e-17
1.14163892e-05,5.04316720e-17
1.14823298e-05,4.97110123e-17
1.15486512e-05,4.90006538e-17
1.16153558e-05,4.83004492e-17
1.16824456e-05,4.76102535e-17
1.17499229e-05,4.69299234e-17
1.18177900e-05,4.62593181e-17
1.18860491e-05,4.55982983e-17
1.19547024e-05,4.49467273e-17
1.20237523e-05,4.43044698e-17
1.20932010e-05,4.36713927e-17
1.21630508e-05,4.30473648e-17
1.22333041e-05,4.24322568e-17
1.23039632e-05,4.18259411e-17
1.23750304e-05,4.12282921e-17
1.24465080e-05,4.06391858e-17
1.25183986e-05,4.00585001e-17
1.25907043e-05,3.94861148e-17
1.26634277e-05,3.89219110e-17
1.27365712e-05,3.83657719e-17
1.28101371e-05,3.78175821e-17
1.28841279e-05,3.72772282e-17
1.29585461e-05,3.67445979e-17
1.30333941e-05,3.62195810e-17
1.31086745e-05,3.57020685e-17
1.31843897e-05,3.51919533e-17
1.32605422e-05,3.46891295e-17
1.33371345e-05,3.41934929e-17
1.34141693e-05,3.37049409e-17
1.34916490e-05,3.32233721e-17
1.35695762e-05,3.27486867e-17
1.36479535e-05,3.22807862e-17
1.37267835e-05,3.18195738e-17
1.38060689e-05,3.13649538e-17
1.38858121e-05,3.09168320e-17
1.39660160e-05,3.04751155e-17
1.40466832e-05,3.00397126e-17
1.41278162e-05,2.96105333e-17
1.42094179e-05,2.91874884e-17
1.42914910e-05,2.87704903e-17
1.43740380e-05,2.83594526e-17
1.44570619e-05,2.79542901e-17
1.45405653e-05,2.75549187e-17
1.46245510e-05,2.71612558e-17
1.47090218e-05,2.67732196e-17
1.47939805e-05,2.63907298e-17
1.48794299e-05,2.60137071e-17
1.49653729e-05,2.56420733e-17
1.50518123e-05,2.52757514e-17
1.51387510e-05,2.49146655e-17
1.52261918e-05,2.45587407e-17
1.53141376e-05,2.42079032e-17
1.54025915e-05,2.38620803e-17
1.54915562e-05,2.35212004e-17
1.55810348e-05,2.31851927e-17
1.56710302e-05,2.28539877e-17
1.57615455e-05,2.25275166e-17
1.58525835e-05,2.22057118e-17
1.59441474e-05,2.18885067e-17
1.60362401e-05,2.15758353e-17
1.61288648e-05,2.12676331e-17
1.62220245e-05,2.09638359e-17
1.63157222e-05,2.06643810e-17
1.64099612e-05,2.03692061e-17
1.65047445e-05,2.00782502e-17
1.66000752e-05,1.97914529e-17
1.66959565e-05,1.95087548e-17
1.67923917e-05,1.92300972e-17
1.68893839e-05,1.89554225e-17
1.69869363e-05,1.86846737e-17
1.70850521e-05,1.84177946e-17
1.71837347e-05,1.81547299e-17
1.72829872e-05,1.78954252e-17
1.73828131e-05,1.76398267e-17
1.74832155e-05,1.73878814e-17
1.75841978e-05,1.71395370e-17
1.76857634e-05,1.68947421e-17
1.77879157e-05,1.66534460e-17
1.78906580e-05,1.64155986e-17
1.79939937e-05,1.61811507e-17
1.80979263e-05,1.59500537e-17
1.82024591e-05,1.57222596e-17
1.83075958e-05,1.54977212e-17
1.84133397e-05,1.52763920e-17
1.85196944e-05,1.50582262e-17
1.86266634e-05,1.48431785e-17
1.87342503e-05,1.46312043e-17
1.88424586e-05,1.44222597e-17
1.89512918e-05,1.42163014e-17
1.90607537e-05,1.40132867e-17
1.91708479e-05,1.38131735e-17
1.92815779e-05,1.36159204e-17
1.93929475e-05,1.34214864e-17
1.95049604e-05,1.32298313e-17
1.96176202e-05,1.30409154e-17
1.97309308e-05,1.28546995e-17
1.98448959e-05,1.26711449e-17
1.99595192e-05,1.24902137e-17
2.00748046e-05,1.23118684e-17
2.01907558e-05,1.21360719e-17
2.03073768e-05,1.19627879e-17
2.04246714e-05,1.17919805e-17
2.05426434e-05,1.16236141e-17
2.06612969e-05,1.14576541e-17
2.07806357e-05,1.12940658e-17
2.09006638e-05,1.11328156e-17
2.10213852e-05,1.09738698e-17
2.11428039e-05,1.08171956e-17
2.12649239e-05,1.06627606e-17
2.13877492e-05,1.05105326e-17
2.15112840e-05,1.03604802e-17
2.16355323e-05,1.02125722e-17
2.17604982e-05,1.00667781e-17
2.18861860e-05,9.92306751e-18
2.20125997e-05,9.78141075e-18
2.21397436e-05,9.64177844e-18
2.22676218e-05,9.50414163e-18
2.23962387e-05,9.36847180e-18
2.25255985e-05,9.23474084e-18
2.26557054e-05,9.10292103e-18
2.27865638e-05,8.97298506e-18
2.29181781e-05,8.84490598e-18
2.30505526e-05,8.71865727e-18
2.31836916e-05,8.59421275e-18
2.33175997e-05,8.47154664e-18
2.34522812e-05,8.35063352e-18
2.35877406e-05,8.23144832e-18
2.37239824e-05,8.11396635e-18
2.38610112e-05,7.99816327e-18
2.39988314e-05,7.88401507e-18
2.41374477e-05,7.77149809e-18
2.42768646e-05,7.66058903e-18
2.44170868e-05,7.55126490e-18
2.45581189e-05,7.44350304e-18
2.46999656e-05,7.33728111e-18
2.48426316e-05,7.23257712e-18
2.49861216e-05,7.12936936e-18
2.51304404e-05,7.02763644e-18
2.52755928e-05,6.92735728e-18
2.54215836e-05,6.82851110e-18
2.55684177e-05,6.73107742e-18
2.57160998e-05,6.63503605e-18
2.58646349e-05,6.54036708e-18
2.60140280e-05,6.44705091e-18
2.61642840e-05,6.35506818e-18
2.63154078e-05,6.26439984e-18
2.64674046e-05,6.17502711e-18
2.66202792e-05,6.08693146e-18
2.67740369e-05,6.00009464e-18
2.69286826e-05,5.91449866e-18
2.70842216e-05,5.83012577e-18
2.72406589e-05,5.74695850e-18
2.73979999e-05,5.66497961e-18
2.75562496e-05,5.58417211e-18
2.77154134e-05,5.50451927e-18
2.78754965e-05,5.42600458e-18
2.80365042e-05,5.34861176e-18
2.81984419e-05,5.27232479e-18
2.83613150e-05,5.19712785e-18
2.85251288e-05,5.12300536e-18
2.86898888e-05,5.04994198e-18
2.88556004e-05,4.97792255e-18
2.90222692e-05,4.90693215e-18
2.91899006e-05,4.83695609e-18
2.93585003e-05,4.76797985e-18
2.95280738e-05,4.69998915e-18
2.96986267e-05,4.63296989e-18
2.98701648e-05,4.56690821e-18
3.00426937e-05,4.50179040e-18
3.02162190e-05,4.43760297e-18
3.03907467e-05,4.37433263e-18
3.05662824e-05,4.31196627e-18
3.07428320e-05,4.25049097e-18
3.09204014e-05,4.18989398e-18
3.10989963e-05,4.13016276e-18
3.12786229e-05,4.07128494e-18
3.14592869e-05,4.01324830e-18
3.16409945e-05,3.95604084e-18
3.18237516e-05,3.89965069e-18
3.20075643e-05,3.84406618e-18
3.21924387e-05,3.78927578e-18
3.23783809e-05,3.73526816e-18
3.25653971e-05,3.68203212e-18
3.27534935e-05,3.62955662e-18
3.29426763e-05,3.57783081e-18
3.31329519e-05,3.52684396e-18
3.33243265e-05,3.47658552e-18
3.35168064e-05,3.42704507e-18
3.37103981e-05,3.37821234e-18
3.39051080e-05,3.33007723e-18
3.41009426e-05,3.28262976e-18
3.42979082e-05,3.23586010e-18
3.44960115e-05,3.18975857e-18
3.46952591e-05,3.14431562e-18
3.48956575e-05,3.09952182e-18
3.50972134e-05,3.05536791e-18
3.52999335e-05,3.01184473e-18
3.55038245e-05,2.96894328e-18
3.57088931e-05,2.92665466e-18
3.59151462e-05,2.88497012e-18
3.61225906e-05,2.84388102e-18
3.63312332e-05,2.80337885e-18
3.65410810e-05,2.76345523e-18
3.67521408e-05,2.72410187e-18
3.69644196e-05,2.68531064e-18
3.71779246e-05,2.64707350e-18
3.73926628e-05,2.60938252e-18
3.76086413e-05,2.57222991e-18
3.78258673e-05,2.53560796e-18
3.80443480e-05,2.49950909e-18
3.82640906e-05,2.46392583e-18
3.84851024e-05,2.42885081e-18
3.87073908e-05,2.39427676e-18
3.89309631e-05,2.36019652e-18
3.91558267e-05,2.32660303e-18
3.93819892e-05,2.29348934e-18
3.96094580e-05,2.26084859e-18
3.98382406e-05,2.22867401e-18
4.00683446e-05,2.19695896e-18
4.02997778e-05,2.16569685e-18
4.05325477e-05,2.13488122e-18
4.07666620e-05,2.10450568e-18
4.10021286e-05,2.07456394e-18
4.12389552e-05,2.04504981e-18
4.14771497e-05,2.01595717e-18
4.17167201e-05,1.98727999e-18
4.19576741e-05,1.95901235e-18
4.22000200e-05,1.93114838e-18
4.24437656e-05,1.90368232e-18
4.26889190e-05,1.87660847e-18
4.29354885e-05,1.84992125e-18
4.31834821e-05,1.82361510e-18
4.34329081e-05,1.79768461e-18
4.36837749e-05,1.77212438e-18
4.39360906e-05,1.74692913e-18
4.41898636e-05,1.72209365e-18
4.44451025e-05,1.69761280e-18
4.47018156e-05,1.67348149e-18
4.49600115e-05,1.64969475e-18
4.52196987e-05,1.62624763e-18
4.54808858e-05,1.60313530e-18
4.57435815e-05,1.58035296e-18
4.60077946e-05,1.55789591e-18
4.62735337e-05,1.53575948e-18
4.65408078e-05,1.51393910e-18
4.68096256e-05,1.49243025e-18
4.70799961e-05,1.47122848e-18
4.73519282e-05,1.45032939e-18
4.76254311e-05,1.42972867e-18
4.79005136e-05,1.40942206e-18
4.81771850e-05,1.38940533e-18
4.84554545e-05,1.36967436e-18
4.87353312e-05,1.35022506e-18
4.90168245e-05,1.33105341e-18
4.92999437e-05,1.31215542e-18
4.95846982e-05,1.29352721e-18
4.98710974e-05,1.27516490e-18
5.01591508e-05,1.25706470e-18
5.04488680e-05,1.23922287e-18
5.07402586e-05,1.22163570e-18
5.10333323e-05,1.20429957e-18
5.13280987e-05,1.18721088e-18
5.16245677e-05,1.17036610e-18
5.19227491e-05,1.15376174e-18
5.22226528e-05,1.13739436e-18
5.25242887e-05,1.12126059e-18
5.28276669e-05,1.10535707e-18
5.31327973e-05,1.08968053e-18
5.34396902e-05,1.07422771e-18
5.37483557e-05,1.05899542e-18
5.40588040e-05,1.04398050e-18
5.43710455e-05,1.02917986e-18
5.46850904e-05,1.01459043e-18
5.50009493e-05,1.00020919e-18
5.53186325e-05,9.86033160e-19
5.56381507e-05,9.72059415e-19
5.59595144e-05,9.58285063e-19
5.62827343e-05,9.44707252e-19
5.66078210e-05,9.31323176e-19
5.69347855e-05,9.18130065e-19
5.72636385e-05,9.05125190e-19
5.75943910e-05,8.92305861e-19
5.79270538e-05,8.79669427e-19
5.82616381e-05,8.67213275e-19
5.85981550e-05,8.54934827e-19
5.89366155e-05,8.42831545e-19
5.92770310e-05,8.30900925e-19
5.96194127e-05,8.19140500e-19
5.99637720e-05,8.07547838e-19
6.03101203e-05,7.96120542e-19
6.06584691e-05,7.84856248e-19
6.10088300e-05,7.73752627e-19
6.13612145e-05,7.62807384e-19
6.17156344e-05,7.52018255e-19
6.20721014e-05,7.41383009e-19
6.24306273e-05,7.30899448e-19
6.27912241e-05,7.20565403e-19
6.31539036e-05,7.10378739e-19
6.35186780e-05,7.00337349e-19
6.38855593e-05,6.90439157e-19
6.42545597e-05,6.80682118e-19
6.46256914e-05,6.71064214e-19
6.49989668e-05,6.61583457e-19
6.53743982e-05,6.52237888e-19
6.57519980e-05,6.43025574e-19
6.61317789e-05,6.33944612e-19
6.65137534e-05,6.24993125e-19
6.68979341e-05,6.16169263e-19
6.72843338e-05,6.07471202e-19
6.76729654e-05,5.98897144e-19
6.80638417e-05,5.90445318e-19
6.84569757e-05,5.82113977e-19
6.88523804e-05,5.73901400e-19
6.92500689e-05,5.65805890e-19
6.96500545e-05,5.57825773e-19
7.00523504e-05,5.49959402e-19
7.04569699e-05,5.42205151e-19
7.08639265e-05,5.34561418e-19
7.12732337e-05,5.27026623e-19
7.16849050e-05,5.19599211e-19
7.20989541e-05,5.12277647e-19
7.25153947e-05,5.05060419e-19
7.29342407e-05,4.97946036e-19
7.33555059e-05,4.90933028e-19
7.37792043e-05,4.84019948e-19
7.42053500e-05,4.77205367e-19
7.46339570e-05,4.70487878e-19
7.50650397e-05,4.63866094e-19
7.54986124e-05,4.57338647e-19
7.59346893e-05,4.50904190e-19
7.63732849e-05,4.44561394e-19
7.68144139e-05,4.38308950e-19
7.72580909e-05,4.32145567e-19
7.77043304e-05,4.26069971e-19
7.81531475e-05,4.20080910e-19
7.86045569e-05,4.14177146e-19
7.90585736e-05,4.08357462e-19
7.95152127e-05,4.02620655e-19
7.99744894e-05,3.96965542e-19
8.04364187e-05,3.91390956e-19
8.09010162e-05,3.85895746e-19
8.13682972e-05,3.80478779e-19
8.18382772e-05,3.75138936e-19
8.23109717e-05,3.69875115e-19
8.27863966e-05,3.64686232e-19
8.32645674e-05,3.59571214e-19
8.37455002e-05,3.54529007e-19
8.42292108e-05,3.49558571e-19
8.47157153e-05,3.44658880e-19
8.52050298e-05,3.39828923e-19
8.56971706e-05,3.35067705e-19
8.61921539e-05,3.30374244e-19
8.66899963e-05,3.25747571e-19
8.71907142e-05,3.21186733e-19
8.76943242e-05,3.16690789e-19
8.82008431e-05,3.12258811e-19
8.87102876e-05,3.07889887e-19
8.92226746e-05,3.03583116e-19
8.97380211e-05,2.99337609e-19
9.02563443e-05,2.95152492e-19
9.07776612e-05,2.91026902e-19
9.13019893e-05,2.86959988e-19
9.18293459e-05,2.82950912e-19
9.23597484e-05,2.78998849e-19
9.28932146e-05,2.75102984e-19
9.34297620e-05,2.71262514e-19
9.39694085e-05,2.67476647e-19
9.45121720e-05,2.63744605e-19
9.50580705e-05,2.60065617e-19
9.56071220e-05,2.56438927e-19
9.61593449e-05,2.52863787e-19
9.67147573e-05,2.49339461e-19
9.72733778e-05,2.45865223e-19
9.78352249e-05,2.42440358e-19
9.84003172e-05,2.39064160e-19
9.89686734e-05,2.35735934e-19
9.95403124e-05,2.32454996e-19
1.00115253e-04,2.29220670e-19
1.00693515e-04,2.26032289e-19
1.01275116e-04,2.22889199e-19
1.01860077e-04,2.19790751e-19
1.02448417e-04,2.16736309e-19
