freq_Hz,h_c_instrument_only,h_c_instrument_plus_confusion
1.00000000e-05,1.40445464e-16,1.40445464e-16
1.00577596e-05,1.38438348e-16,1.38438348e-16
1.01158528e-05,1.36459922e-16,1.36459922e-16
1.01742816e-05,1.34509776e-16,1.34509776e-16
1.02330478e-05,1.32587507e-16,1.32587507e-16
1.02921535e-05,1.30692715e-16,1.30692715e-16
1.03516005e-05,1.28825008e-16,1.28825008e-16
1.04113909e-05,1.26983998e-16,1.26983998e-16
1.04715267e-05,1.25169305e-16,1.25169305e-16
1.05320098e-05,1.23380551e-16,1.23380551e-16
1.05928423e-05,1.21617366e-16,1.21617366e-16
1.06540261e-05,1.19879384e-16,1.19879384e-16
1.07155633e-05,1.18166246e-16,1.18166246e-16
1.07774560e-05,1.16477596e-16,1.16477596e-16
1.08397061e-05,1.14813084e-16,1.14813084e-16
1.09023158e-05,1.13172364e-16,1.13172364e-16
1.09652872e-05,1.11555098e-16,1.11555098e-16
1.10286222e-05,1.09960949e-16,1.09960949e-16
1.10923231e-05,1.08389587e-16,1.08389587e-16
1.11563919e-05,1.06840686e-16,1.06840686e-16
1.12208308e-05,1.05313926e-16,1.05313926e-16
1.12856418e-05,1.03808989e-16,1.03808989e-16
1.13508272e-05,1.02325564e-16,1.02325564e-16
1.14163892e-05,1.00863344e-16,1.00863344e-16
1.14823298e-05,9.94220246e-17,9.94220246e-17
1.15486512e-05,9.80013076e-17,9.80013076e-17
1.16153558e-05,9.66008985e-17,9.66008985e-17
1.16824456e-05,9.52205070e-17,9.52205070e-17
1.17499229e-05,9.38598469e-17,9.38598469e-17
1.18177900e-05,9.25186361e-17,9.25186361e-17
1.18860491e-05,9.11965967e-17,9.11965967e-17
1.19547024e-05,8.98934545e-17,8.98934545e-17
1.20237523e-05,8.86089395e-17,8.86089395e-17
1.20932010e-05,8.73427854e-17,8.73427854e-17
1.21630508e-05,8.60947297e-17,8.60947297e-17
1.22333041e-05,8.48645136e-17,8.48645136e-17
1.23039632e-05,8.36518822e-17,8.36518822e-17
1.23750304e-05,8.24565841e-17,8.24565841e-17
1.24465080e-05,8.12783716e-17,8.12783716e-17
1.25183986e-05,8.01170003e-17,8.01170003e-17
1.25907043e-05,7.89722295e-17,7.89722295e-17
1.26634277e-05,7.78438220e-17,7.78438220e-17
1.27365712e-05,7.67315438e-17,7.67315438e-17
1.28101371e-05,7.56351643e-17,7.56351643e-17
1.28841279e-05,7.45544563e-17,7.45544563e-17
1.29585461e-05,7.34891958e-17,7.34891958e-17
1.30333941e-05,7.24391619e-17,7.24391619e-17
1.31086745e-05,7.14041370e-17,7.14041370e-17
1.31843897e-05,7.03839065e-17,7.03839065e-17
1.32605422e-05,6.93782590e-17,6.93782590e-17
1.33371345e-05,6.83869859e-17,6.83869859e-17
1.34141693e-05,6.74098818e-17,6.74098818e-17
1.34916490e-05,6.64467441e-17,6.64467441e-17
1.35695762e-05,6.54973733e-17,6.54973733e-17
1.36479535e-05,6.45615725e-17,6.45615725e-17
1.37267835e-05,6.36391477e-17,6.36391477e-17
1.38060689e-05,6.27299077e-17,6.27299077e-17
1.38858121e-05,6.18336640e-17,6.18336640e-17
1.39660160e-05,6.09502309e-17,6.09502309e-17
1.40466832e-05,6.00794253e-17,6.00794253e-17
