freq_Hz,log10rho_median,log10rho_p16,log10rho_p84
9.999999999999999e-10,-1.0,-1.15,-0.85
1.1721022975334794e-09,-1.0,-1.1554059509211971,-0.8445940490788029
1.3738237958832611e-09,-1.0,-1.1607485220105511,-0.8392514779894488
1.6102620275609425e-09,-1.0,-1.165965076506799,-0.834034923493201
1.8873918221350994e-09,-1.0,-1.1709944550780131,-0.8290055449219867
2.21221629107045e-09,-1.0,-1.175777692858851,-0.824222307141149
2.592943797404667e-09,-1.0,-1.1802587107596882,-0.8197412892403118
3.0391953823131946e-09,-1.0,-1.1843849729426712,-0.8156150270573288
3.5622478902624368e-09,-1.0,-1.1881081027563818,-0.8118918972436182
4.175318936560409e-09,-1.0,-1.1913844499078445,-0.8086155500921555
4.893900918477499e-09,-1.0,-1.1941756022223011,-0.8058243977776989
5.7361525104486815e-09,-1.0,-1.1964488359908396,-0.8035511640091604
6.7233575364993345e-09,-1.0,-1.198177499625961,-0.8018225003740389
7.880462815669903e-09,-1.0,-1.1993413261270762,-0.8006586738729237
9.236708571873846e-09,-1.0,-1.1999266706925562,-0.8000733293074438
1.0826367338740541e-08,-1.0,-1.1999266706925562,-0.8000733293074438
1.2689610031679234e-08,-1.0,-1.1993413261270762,-0.8006586738729237
1.487352107293512e-08,-1.0,-1.198177499625961,-0.8018225003740389
1.743328822199987e-08,-1.0121271620073478,-1.2085759979981874,-0.8156783260165081
2.0433597178569395e-08,-1.0948857826970024,-1.2890613849193036,-0.9007101804747013
2.395026619987486e-08,-1.1776444033866584,-1.369028853294503,-0.9862599534788139
2.8072162039411755e-08,-1.4013434135877108,-1.5894515163440925,-1.213235310831329
3.290344562312671e-08,-1.67720548255323,-1.8615904554959013,-1.492820509610559
3.8566204211634724e-08,-1.9530675515187466,-2.133326262278435,-1.7728088407590583
4.5203536563602405e-08,-2.228929620484262,-2.4047073133431134,-2.053151927625411
5.2983169062837016e-08,-2.504791689449778,-2.6757861445277915,-2.333797234371765
6.210169418915617e-08,-2.7806537584152977,-2.9466188349220968,-2.6146886819084987
7.278953843983146e-08,-3.0565158273808137,-3.217264349391365,-2.8957673053702626
8.531678524172815e-08,-3.332377896346334,-3.487783847267531,-3.1769719454251373
1e-07,-3.6082399653118493,-3.7582399653118492,-3.4582399653118494
